"player1","player2","win1","win2"
"Anna Karolina Schmiedlova","Jasmine Paolini",0,1
"Anna Karolina Schmiedlova","Kaja Juvan",1,0
"Anna Karolina Schmiedlova","Kristina Kucova",1,0
"Anna Karolina Schmiedlova","Kristina Mladenovic",0,1
"Anna Karolina Schmiedlova","Lesia Tsurenko",0,1
"Anna Karolina Schmiedlova","Reka Luca Jani",1,0
"Anna Karolina Schmiedlova","Yulia Putintseva",0,1
"Anna Lena Friedsam","Aryna Sabalenka",0,1
"Anna Lena Friedsam","Caroline Garcia",0,1
"Anna Lena Friedsam","Elise Mertens",0,1
"Anna Lena Friedsam","Irina Bara",0,1
"Anna Lena Friedsam","Ulrikke Eikeri",1,0
"Anna Lena Friedsam","Viktorija Golubic",1,0
"Anna Lena Friedsam","Viktoriya Tomova",0,1
"Arantxa Rus","Dalma Galfi",1,0
"Arantxa Rus","Elena Rybakina",0,1
"Arantxa Rus","Harmony Tan",1,0
"Arantxa Rus","Ipek Oz",1,0
"Arantxa Rus","Irina Bara",1,0
"Arantxa Rus","Jessica Pegula",1,0
"Arantxa Rus","Jule Niemeier",0,1
"Arantxa Rus","Kamilla Rakhimova",0,1
"Arantxa Rus","Maria Sakkari",0,1
"Arantxa Rus","Martina Trevisan",0,1
"Arantxa Rus","Mihaela Buzarnescu",0,1
"Arantxa Rus","Nuria Parrizas Diaz",0,2
"Arantxa Rus","Panna Udvardy",1,0
"Arantxa Rus","Sara Errani",0,1
"Arantxa Rus","Sara Sorribes Tormo",0,1
"Arantxa Rus","Sorana Cirstea",0,1
"Xin Yu Wang","Arantxa Rus",0,1
"Xiyu Wang","Arantxa Rus",1,0
"Aryna Sabalenka","Ashleigh Barty",1,1
"Aryna Sabalenka","Bianca Andreescu",1,0
"Aryna Sabalenka","Camila Giorgi",0,1
"Aryna Sabalenka","Chloe Paquet",1,0
"Aryna Sabalenka","Cori Gauff",0,1
"Aryna Sabalenka","Daria Kasatkina",1,0
"Aryna Sabalenka","Elise Mertens",1,0
"Aryna Sabalenka","Iga Swiatek",0,2
"Aryna Sabalenka","Jessica Pegula",2,0
"Aryna Sabalenka","Madison Brengle",1,0
"Aryna Sabalenka","Paula Badosa",1,0
"Aryna Sabalenka","Sara Sorribes Tormo",1,0
"Aryna Sabalenka","Shuai Zhang",2,0
"Aryna Sabalenka","Simona Halep",1,0
"Aryna Sabalenka","Vera Zvonareva",1,0
"Ashleigh Barty","Bernarda Pera",1,0
"Ashleigh Barty","Cori Gauff",0,1
"Ashleigh Barty","Elina Svitolina",1,0
"Ashleigh Barty","Iga Swiatek",1,0
"Ashleigh Barty","Karolina Pliskova",1,0
"Ashleigh Barty","Laura Siegemund",1,0
"Ashleigh Barty","Magda Linette",0,1
"Ashleigh Barty","Misaki Doi",1,0
"Ashleigh Barty","Paula Badosa",1,1
"Ashleigh Barty","Petra Kvitova",1,0
"Ashleigh Barty","Shelby Rogers",2,0
"Ashleigh Barty","Tamara Zidansek",1,0
"Veronika Kudermetova","Ashleigh Barty",0,1
"Camila Osorio","Astra Sharma",0,1
"Astra Sharma","Caroline Garcia",0,1
"Astra Sharma","Claire Liu",0,1
"Astra Sharma","Danielle Collins",0,1
"Astra Sharma","Irina Bara",1,0
"Astra Sharma","Kristyna Pliskova",1,0
"Astra Sharma","Linda Fruhvirtova",1,0
"Astra Sharma","Madison Brengle",1,0
"Astra Sharma","Natalia Vikhlyantseva",1,0
"Astra Sharma","Ons Jabeur",1,1
"Astra Sharma","Petra Marcinko",1,0
"Astra Sharma","Varvara Gracheva",0,1
"Astra Sharma","Ysaline Bonaventure",0,1
"Barbora Krejcikova","Caroline Garcia",1,0
"Barbora Krejcikova","Cori Gauff",1,0
"Barbora Krejcikova","Diane Parry",0,1
"Barbora Krejcikova","Ekaterina Alexandrova",2,0
"Barbora Krejcikova","Elina Svitolina",1,0
"Barbora Krejcikova","Iga Swiatek",0,1
"Barbora Krejcikova","Jule Niemeier",1,0
"Barbora Krejcikova","Kristyna Pliskova",1,0
"Barbora Krejcikova","Magdalena Frech",1,0
"Barbora Krejcikova","Maria Sakkari",1,0
"Barbora Krejcikova","Oceane Dodin",1,0
"Barbora Krejcikova","Paula Badosa",0,1
"Barbora Krejcikova","Saisai Zheng",1,0
"Barbora Krejcikova","Sloane Stephens",1,0
"Barbora Krejcikova","Sofia Kenin",1,0
"Barbora Krejcikova","Sorana Cirstea",1,0
"Barbora Krejcikova","Xiyu Wang",0,1
"Cristina Bucsa","Beatriz Haddad Maia",0,1
"Beatriz Haddad Maia","Kaia Kanepi",0,1
"Beatriz Haddad Maia","Kamilla Rakhimova",0,1
"Beatriz Haddad Maia","Maria Carle",1,0
"Beatriz Haddad Maia","Nadia Podoroska",1,0
"Beatriz Haddad Maia","Reka Luca Jani",1,0
"Beatriz Haddad Maia","Tamara Zidansek",0,1
"Belinda Bencic","Bernarda Pera",1,0
"Belinda Bencic","Bianca Andreescu",1,0
"Belinda Bencic","Daria Kasatkina",0,1
"Belinda Bencic","Diane Parry",1,0
"Belinda Bencic","Ekaterina Alexandrova",1,1
"Belinda Bencic","Elisabetta Cocciaretto",1,0
"Belinda Bencic","Irina Camelia Begu",1,0
"Belinda Bencic","Karolina Muchova",1,0
"Belinda Bencic","Kristina Mladenovic",1,1
"Belinda Bencic","Leylah Fernandez",0,1
"Belinda Bencic","Linda Fruhvirtova",1,0
"Belinda Bencic","Madison Keys",1,0
"Belinda Bencic","Nadia Podoroska",1,0
"Belinda Bencic","Ons Jabeur",2,1
"Belinda Bencic","Paula Badosa",1,2
"Belinda Bencic","Petra Martic",0,1
"Belinda Bencic","Reka Luca Jani",1,0
"Belinda Bencic","Xiyu Wang",1,0
"Bernarda Pera","Elena Gabriela Ruse",2,0
"Bernarda Pera","Elisabetta Cocciaretto",1,0
"Bernarda Pera","Garbine Muguruza",0,1
"Bernarda Pera","Jil Teichmann",0,1
"Bernarda Pera","Julia Grabher",1,0
"Bernarda Pera","Karolina Pliskova",0,1
"Bernarda Pera","Katarzyna Kawa",1,0
"Bernarda Pera","Katerina Siniakova",1,0
"Bernarda Pera","Maryna Zanevska",1,0
"Bernarda Pera","Petra Martic",1,0
"Bernarda Pera","Sara Sorribes Tormo",0,1
"Bernarda Pera","Tamara Zidansek",1,0
"Bernarda Pera","Veronika Kudermetova",0,1
"Bernarda Pera","Ysaline Bonaventure",0,1
"Bianca Andreescu","Danielle Collins",1,0
"Bianca Andreescu","Emma Raducanu",1,0
"Bianca Andreescu","Iga Swiatek",0,1
"Bianca Andreescu","Jessica Pegula",0,1
"Bianca Andreescu","Jule Niemeier",1,0
"Bianca Andreescu","Maryna Zanevska",1,0
"Bianca Andreescu","Nuria Parrizas Diaz",1,0
"Bianca Andreescu","Petra Martic",1,0
"Bianca Andreescu","Sorana Cirstea",0,1
"Bianca Andreescu","Tamara Zidansek",0,1
"Bianca Andreescu","Ysaline Bonaventure",1,0
"Caijsa Wilda Hennemann","Julia Grabher",1,0
"Caijsa Wilda Hennemann","Mariam Bolkvadze",1,0
"Caijsa Wilda Hennemann","Viktoriya Tomova",0,1
"Camila Giorgi","Christina Mchale",1,0
"Camila Giorgi","Cori Gauff",0,1
"Camila Giorgi","Daria Kasatkina",0,1
"Camila Giorgi","Jessica Pegula",0,1
"Camila Giorgi","Petra Martic",1,0
"Camila Giorgi","Sara Sorribes Tormo",0,1
"Camila Giorgi","Shuai Zhang",1,0
"Camila Giorgi","Tamara Korpatsch",0,1
"Camila Giorgi","Ulrikke Eikeri",1,0
"Camila Giorgi","Varvara Gracheva",0,1
"Camila Giorgi","Yulia Putintseva",1,0
"Camila Giorgi","Zarina Diyas",0,1
"Camila Osorio","Christina Mchale",1,0
"Camila Osorio","Clara Tauson",1,0
"Camila Osorio","Diane Parry",0,1
"Camila Osorio","Elina Avanesyan",1,0
